Qnumber,ItemNum,SenType,Category,list
Q5.94,c3-57,g,pair,3
Q5.134,c3-58,b,pair,3
Q5.97,c3-68,g,pair,3
Q5.135,c3-f9,b,pair,3
Q5.98,c4-27,g,pair,3
Q5.138,c4-28,b,pair,3
Q5.99,c4-38,b,pair,3
Q5.136,c4-39,b,pair,3
Q5.100,c4-45,g,pair,3
Q5.137,c4-47,b,pair,3
Q5.101,c4-48,g,pair,3
Q5.102,c4-49,g,pair,3
Q5.139,c4-55,b,pair,3
Q5.103,c4-55b,g,pair,3
Q5.140,c4-56,b,pair,3
Q5.104,c4-56b,g,pair,3
Q5.141,c4-75,b,pair,3
Q5.105,c4-f29,g,pair,3
Q5.142,c5-08,b,pair,3
Q5.106,c5-09,g,pair,3
Q5.143,c5-12,b,pair,3
Q5.107,c5-13,g,pair,3
Q5.108,c5-17,g,pair,3
Q5.109,c5-24,g,pair,3
Q5.145,c5-25,b,pair,3
Q5.110,c5-26,g,pair,3
Q5.112,c5-41,g,pair,3
Q5.111,c5-42,g,pair,3
Q5.148,c5-43,b,pair,3
Q5.113,c5-47,g,pair,3
Q5.149,c5-48,b,pair,3
Q5.114,c5-54,g,pair,3
Q5.115,c5-60,g,pair,3
Q5.147,c5-68,b,pair,3
Q5.150,c5-69,b,pair,3
Q5.116,c5-71,b,pair,3
Q5.151,c5-73,b,pair,3
Q5.117,c5-74,g,pair,3
Q5.118,c5-92,g,pair,3
Q5.146,c5-f21,b,pair,3
Q5.152,c5-f30,b,pair,3
Q5.144,c5-f9,b,pair,3
Q5.119,c6-21,g,pair,3
Q5.153,c6-24,b,pair,3
Q5.120,c6-58,g,pair,3
Q5.154,c6-60,b,pair,3
Q5.121,c6-61,g,pair,3
Q5.155,c6-62,b,pair,3
Q5.122,c6-63,g,pair,3
Q5.1,c1-30a,g,triple,3
Q6.1,c1-30b,b,triple,4
Q5.156,c6-64,b,pair,3
Q5.123,c6-75,g,pair,3
Q5.157,c6-78,b,pair,3
Q7.1,c1-30c,g,triple,5
Q5.124,c6-79,g,pair,3
Q5.158,c6-80a,b,pair,3
Q5.2,c2-13a,g,triple,3
Q5.159,c6-81,b,pair,3
Q6.2,c2-13b,g,triple,4
Q7.2,c2-13c,q,triple,5
Q7.4,c2-66a,b,triple,5
Q5.4,c2-66b,g,triple,3
Q6.4,c2-66c,g,triple,4
Q5.3,c2-f28a,b,triple,3
Q6.3,c2-f28b,b,triple,4
Q7.3,c2-f28c,g,triple,5
Q6.5,c3-05a,b,triple,4
Q5.5,c3-05b,q,triple,3
Q7.5,c3-05c,g,triple,5
Q5.6,c3-06a,b,triple,3
Q6.6,c3-06b,q,triple,4
Q7.6,c3-06c,g,triple,5
Q5.7,c3-07a,g,triple,3
Q6.7,c3-07b,qq,triple,4
Q7.7,c3-07c,g,triple,5
Q6.8,c3-10a,b,triple,4
Q5.8,c3-10b,q,triple,3
Q7.8,c3-10c,g,triple,5
Q5.9,c3-16a,b,triple,3
Q6.9,c3-16b,g,triple,4
Q7.9,c3-16c,g,triple,5
Q5.10,c3-21a,q,triple,3
Q6.10,c3-21b,q,triple,4
Q7.10,c3-21c,q,triple,5
Q5.11,c3-34a,b,triple,3
Q6.11,c3-34b,b,triple,4
Q7.11,c3-34c,g,triple,5
Q5.12,c3-38a,g,triple,3
Q6.12,c3-38b,b,triple,4
Q7.12,c3-38c,g,triple,5
Q5.13,c3-39a,b,triple,3
Q5.43,c1-34,g,other,3
Q6.43,c1-34-2,g,other,4
Q5.72,c1-38,q,other,3
